pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1600	5781	3734	3500	2265	1756	1184	856	558	229	225	41	5
home---secondary	4225	5006	1084	422	494	595	659	704	703	658	574	547	2966
home---work	11861	11735	3074	1724	1400	1295	1387	1437	1541	1433	1245	1172	4435
pt interaction---home	1577	5721	3806	3501	2243	1644	1194	917	573	231	248	41	6
pt interaction---pt interaction	24932	39880	4785	1658	828	427	435	348	280	107	0	0	0
pt interaction---secondary	2306	2698	1270	826	620	478	193	71	40	39	26	2	0
pt interaction---work	2690	4074	2088	1608	1309	1072	222	30	24	19	29	0	0
secondary---home	4025	5026	1321	403	472	583	646	702	711	662	575	541	2945
secondary---pt interaction	2391	2822	1100	824	627	492	150	81	33	41	31	2	0
work---home	10007	12670	3805	1064	1214	1601	1831	1655	1659	1453	1240	1174	4423
work---pt interaction	2726	4044	1988	1560	1486	995	222	22	19	16	30	0	0

average leg duration: 1010.8651659797572 seconds = 00:16:50
