Iteration	car_travel	car_wait	pt_travel	pt_wait	stageActivity_travel	stageActivity_wait	walk_travel	walk_wait
0	8194	0	7984	153	0	0	7927	0
1	8169	0	4197	217	0	0	15318	0
2	39034	0	8101	8062	0	0	27135	0
3	53519	0	10334	7485	0	0	37752	0
4	39785	0	9067	6346	0	0	42121	0
5	29812	0	7732	5197	0	0	45858	0
6	23377	0	7000	4426	0	0	49032	0
7	19510	0	6448	4064	0	0	51647	0
8	16504	0	5890	3723	0	0	54157	0
9	14556	0	5606	3466	0	0	56109	0
10	12954	0	5306	3368	0	0	57723	0
11	11726	0	4992	3252	0	0	59123	0
12	10846	0	4719	3182	0	0	60284	0
13	10185	0	4560	3118	0	0	61566	0
14	9714	0	4416	3089	0	0	62484	0
15	9144	0	4210	3036	0	0	63366	0
16	8623	0	4024	3026	0	0	64449	0
17	8331	0	3934	3031	0	0	64956	0
18	8056	0	3844	3091	0	0	65329	0
19	7955	0	3825	3082	0	0	65568	0
20	7851	0	3814	3059	0	0	66073	0
21	7719	0	3824	3077	0	0	66520	0
22	7618	0	3784	3090	0	0	66649	0
23	7561	0	3801	3109	0	0	66559	0
24	7499	0	3779	3042	0	0	66693	0
25	7425	0	3770	3039	0	0	66432	0
26	7333	0	3751	3103	0	0	66293	0
27	7330	0	3805	3195	0	0	66027	0
28	7331	0	3834	3223	0	0	66043	0
29	7345	0	3870	3288	0	0	65694	0
30	7380	0	3835	3194	0	0	64924	0
31	7401	0	3833	3221	0	0	64459	0
32	7449	0	3882	3299	0	0	63927	0
33	7488	0	3891	3282	0	0	63199	0
34	7541	0	3873	3276	0	0	62591	0
35	7624	0	3960	3257	0	0	62036	0
36	7707	0	3968	3329	0	0	61110	0
37	7856	0	4027	3262	0	0	60302	0
38	7921	0	4032	3234	0	0	59698	0
39	8007	0	4066	3268	0	0	59036	0
40	8150	0	4062	3258	0	0	58122	0
41	8258	0	4052	3227	0	0	57204	0
42	8331	0	4099	3279	0	0	56613	0
43	8474	0	4070	3208	0	0	55598	0
44	8710	0	4122	3156	0	0	54873	0
45	8845	0	4171	3134	0	0	54219	0
46	9011	0	4238	3063	0	0	53506	0
47	9057	0	4171	3050	0	0	52716	0
48	9150	0	4214	3040	0	0	52213	0
49	9231	0	4193	3024	0	0	51383	0
50	9341	0	4233	3022	0	0	50980	0
51	9515	0	4259	3051	0	0	50256	0
52	9599	0	4229	2991	0	0	49409	0
53	9631	0	4210	2955	0	0	48953	0
54	9747	0	4217	3009	0	0	48347	0
55	9942	0	4270	3040	0	0	47676	0
56	10171	0	4357	3011	0	0	47020	0
57	10294	0	4386	3035	0	0	46397	0
58	10491	0	4368	2973	0	0	45871	0
59	10457	0	4325	2972	0	0	45658	0
60	10571	0	4339	3005	0	0	44962	0
61	10701	0	4302	2932	0	0	44359	0
62	10859	0	4347	2915	0	0	43975	0
63	10997	0	4372	2897	0	0	43733	0
64	11189	0	4409	2963	0	0	43069	0
65	11347	0	4371	2939	0	0	42665	0
66	11354	0	4409	2948	0	0	42125	0
67	11412	0	4316	2937	0	0	41842	0
68	11657	0	4405	2922	0	0	41338	0
69	11771	0	4428	3022	0	0	40757	0
70	11986	0	4433	2867	0	0	40749	0
71	11881	0	4396	2901	0	0	40484	0
72	12053	0	4419	2933	0	0	39888	0
73	12253	0	4424	2932	0	0	39718	0
74	12197	0	4482	2957	0	0	39422	0
