Iteration	car	pt	walk
0	66080	3895	23772
1	79576	5937	45947
2	311724	52776	81417
3	620311	96920	113284
4	589716	101278	126392
5	563341	103182	137604
6	540558	104880	147127
7	520897	106677	154974
8	501026	108115	162505
9	484863	110015	168363
10	470570	111332	173206
11	458254	112901	177406
12	447785	113360	180890
13	437943	114075	184737
14	429615	115301	187492
15	421985	116270	190138
16	414194	117052	193386
17	408442	117720	194908
18	403600	119018	196028
19	400748	119423	196743
20	397107	119575	198258
21	392791	120606	199601
22	390856	120625	199987
23	389185	121708	199718
24	387390	121812	200122
25	386720	123092	199338
26	386160	124251	198922
27	385519	125101	198123
28	384272	125937	198171
29	384501	126408	197124
30	388508	126210	194812
31	390193	126206	193417
32	391214	127154	191821
33	392817	127377	189637
34	396421	127023	187813
35	397224	128554	186148
36	401412	128396	183370
37	406165	128317	180947
38	408466	129084	179133
39	411701	128999	177149
40	416403	127980	174405
41	421223	127485	171651
42	423511	128089	169876
43	428904	127550	166832
44	432909	126177	164655
45	436037	126866	162695
46	439308	126946	160553
47	443460	126616	158184
48	445148	126443	156675
49	449374	126291	154185
50	450696	126337	152975
51	454129	126950	150803
52	459503	125969	148260
53	461549	125106	146892
54	464275	125379	145074
55	467852	124691	143060
56	470456	125253	141093
57	474182	124601	139222
58	477965	124176	137646
59	479113	123396	137006
60	481873	123825	134917
61	484806	123543	133108
62	488107	122935	131955
63	489435	122765	131228
64	493084	121929	129237
65	495757	121178	128025
66	497657	121681	126404
67	498828	120912	125556
68	502274	120564	124044
69	504549	121031	122301
70	505778	119788	122275
71	506825	120314	121479
72	510116	119651	119693
73	511166	119645	119182
74	511994	120461	118292
75	513040	119221	117898
76	515095	118990	116875
77	515776	119320	116390
78	517564	118871	115728
79	520025	117426	114735
80	520189	118316	114351
81	523740	117756	112577
82	525268	116569	112293
83	525321	116437	112221
84	528035	116537	110463
85	527985	116282	110212
86	528438	115606	110298
87	529476	116389	109513
88	530315	115128	109419
89	532537	115390	108352
90	531450	116186	108397
91	533342	114573	107685
92	533077	114802	107594
93	533706	114764	107446
94	535159	114254	106730
95	537363	114178	105987
96	538295	114089	105614
97	538069	113386	105798
98	539530	113366	104842
99	539025	113513	104699
100	539992	113663	104374
101	542162	112816	103618
102	542091	112812	103539
103	541116	113455	103511
104	541639	112650	103351
105	541808	112676	103393
106	543901	112128	102385
107	543559	112430	102620
108	543802	112725	102358
109	544702	112259	101783
110	544504	112037	102298
111	543608	112713	102265
112	544872	112619	101411
113	544572	111156	102028
114	545551	111702	101371
115	545500	111764	101157
116	546494	111676	100931
117	546985	111579	100535
118	546496	111651	100642
119	545154	112120	100841
120	546770	111928	100385
121	546119	111301	100451
122	547147	111308	100239
123	548299	111029	99904
124	547248	111440	99864
125	547293	111180	99708
126	548642	110728	99783
127	548130	110962	99493
128	549949	111593	98581
129	548198	111484	99324
130	547869	111537	99388
131	548914	110705	99251
132	549738	110648	98795
133	549955	110671	98636
134	549458	111027	98767
135	551062	110356	97789
136	549338	110657	99015
137	549040	110569	98693
138	549446	111075	98432
139	550648	110399	97967
140	549207	110487	98710
141	550104	111049	98150
142	551196	110927	97371
143	550148	110670	98645
144	549884	110937	98033
145	551580	109728	97583
146	549492	110952	98350
147	551317	110541	97734
148	550659	109664	98211
149	550397	110440	98171
150	551242	110156	97413
