Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	22:45:28	22:45:28	22:45:28			22:45:28	22:45:28	22:45:32	22:45:32	22:45:32	22:45:32	22:45:32	22:45:48	22:45:48	22:45:48	22:45:48	22:45:48	22:45:48			22:45:50	22:45:50		00:00:00		00:00:03	00:00:03	00:00:00	00:00:16	00:00:00	00:00:00		00:00:01	00:00:21
1	22:45:50	22:45:50	22:45:50	22:45:50	22:45:51	22:45:51	22:45:51	22:45:55	22:45:55	22:45:55	22:45:55	22:45:55	22:46:09	22:46:09	22:46:09	22:46:09	22:46:09	22:46:09			22:46:10	22:46:10		00:00:00	00:00:00	00:00:03	00:00:03	00:00:00	00:00:14	00:00:00	00:00:00		00:00:00	00:00:19
2	22:46:10	22:46:10	22:46:10	22:46:10	22:46:10	22:46:10			22:46:10	22:46:10	22:46:10	22:46:10	22:46:24	22:46:24	22:46:24	22:46:24	22:46:24	22:46:24			22:46:25	22:46:25		00:00:00	00:00:00		00:00:00	00:00:00	00:00:13	00:00:00	00:00:00		00:00:00	00:00:14
3	22:46:25	22:46:25	22:46:25	22:46:25	22:46:25	22:46:25			22:46:25	22:46:25	22:46:25	22:46:25	22:46:38	22:46:38	22:46:38	22:46:38	22:46:38	22:46:38			22:46:38	22:46:38		00:00:00	00:00:00		00:00:00	00:00:00	00:00:12	00:00:00	00:00:00		00:00:00	00:00:13
4	22:46:38	22:46:38	22:46:39	22:46:39	22:46:39	22:46:39			22:46:39	22:46:39	22:46:39	22:46:39	22:46:51	22:46:51	22:46:51	22:46:51	22:46:51	22:46:51			22:46:51	22:46:51		00:00:00	00:00:00		00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
5	22:46:51	22:46:51	22:46:51	22:46:51	22:46:52	22:46:52			22:46:52	22:46:52	22:46:52	22:46:52	22:47:03	22:47:03	22:47:03	22:47:03	22:47:03	22:47:03			22:47:03	22:47:03		00:00:00	00:00:00		00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
6	22:47:03	22:47:03	22:47:04	22:47:04	22:47:04	22:47:04			22:47:04	22:47:04	22:47:04	22:47:04	22:47:15	22:47:15	22:47:15	22:47:15	22:47:15	22:47:15			22:47:16	22:47:16		00:00:00	00:00:00		00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
7	22:47:16	22:47:16	22:47:16	22:47:16	22:47:16	22:47:16			22:47:16	22:47:16	22:47:16	22:47:16	22:47:28	22:47:28	22:47:28	22:47:28	22:47:28	22:47:28			22:47:29	22:47:29		00:00:00	00:00:00		00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
8	22:47:29	22:47:29	22:47:29	22:47:29	22:47:29	22:47:29			22:47:29	22:47:29	22:47:29	22:47:29	22:47:40	22:47:40	22:47:40	22:47:40	22:47:40	22:47:40			22:47:41	22:47:41		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:11
9	22:47:41	22:47:41	22:47:41	22:47:41	22:47:41	22:47:41			22:47:41	22:47:41	22:47:41	22:47:41	22:47:53	22:47:53	22:47:53	22:47:53	22:47:53	22:47:53			22:47:54	22:47:54		00:00:00	00:00:00		00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:13
