pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1702	6285	4139	3792	2564	2146	1403	1086	638	276	272	39	7
home---secondary	998	1278	423	524	729	1035	1204	1340	1389	1351	1154	1170	6466
home---work	2986	3269	980	1093	1871	2411	2843	3040	3218	3180	2818	2643	10348
pt interaction---home	1709	6183	4190	3827	2510	2010	1384	1156	662	274	296	37	11
pt interaction---pt interaction	27888	45686	6040	1029	883	533	161	108	127	164	87	44	4
pt interaction---secondary	2155	2545	1218	836	571	451	214	68	27	38	21	1	0
pt interaction---work	3389	5020	2550	1942	1614	1232	318	61	22	28	28	0	0
secondary---home	1025	1156	526	527	724	1030	1200	1348	1392	1351	1156	1164	6451
secondary---pt interaction	2270	2668	1029	812	584	444	181	83	20	38	26	1	0
work---home	3176	2970	1084	1103	1879	2418	2849	3071	3259	3183	2828	2647	10344
work---pt interaction	3437	5030	2387	1890	1785	1145	316	32	17	25	29	0	0

average leg duration: 1515.8950135526684 seconds = 00:25:15
