Iteration	car	pt	walk
0	66080	3895	23772
1	79576	5937	45947
2	307133	52841	81351
3	617477	96910	113391
4	584725	101381	127560
5	555082	103615	140750
6	526234	105776	152870
7	500829	107791	163483
8	474753	109978	174132
9	451445	112805	183372
10	430377	114986	191444
11	411760	117507	199227
12	392599	120162	206920
13	374375	121407	214496
14	359337	123412	220420
15	343782	125251	227073
16	329982	126743	232968
17	318240	128640	237635
18	304982	130666	243301
19	292545	131405	248624
20	280070	133252	253607
21	271236	134445	257667
22	262227	135319	261629
23	253972	136101	265371
24	244305	136791	269865
25	235581	137829	273885
26	225826	139768	277871
27	218240	140207	281448
28	211019	140070	285009
29	204635	140137	288119
30	197178	140710	292130
31	191514	141676	294437
32	185058	142057	297538
33	177533	141899	301319
34	170629	142658	304621
35	165026	141384	307778
36	159029	141062	310991
37	153600	140392	314639
38	148077	140135	317743
39	143188	140502	320134
40	138337	140722	322464
41	134082	139916	324989
42	128730	139962	327740
43	123690	139674	330587
44	117481	139495	333966
45	113787	138554	336387
46	110177	137924	338842
47	106897	135824	341188
48	103537	135869	343270
49	98954	135469	346183
50	95825	134929	348496
51	90941	134666	350973
52	87400	134304	353214
53	84922	133313	354828
54	81996	131705	357004
55	79161	130990	359134
56	76087	130433	360943
57	73127	129770	363229
58	70982	128681	364950
59	70479	125847	366426
60	67912	124528	368625
61	65261	122496	370953
62	62648	121104	372478
63	60679	119629	374201
64	58503	118903	375951
65	56853	117753	377529
66	54637	116724	379540
67	53903	116465	379878
68	51807	115138	381629
69	50468	113558	383184
70	49772	112423	384222
71	48406	111923	385119
72	46611	111437	386577
73	46812	108785	387690
74	44599	107444	389377
75	41863	106975	391462
76	41152	104971	392401
77	40328	103796	393556
78	39590	102429	394458
79	38470	101669	396202
80	38057	99336	397276
81	36369	98467	398542
82	36082	96405	399903
83	35731	95798	400482
84	34026	94238	402272
85	33678	92999	402953
86	32572	91305	404546
87	32518	90248	405049
88	32089	89821	405430
89	31703	88291	406832
90	31390	87257	407575
91	30807	85976	408521
92	30947	84045	409488
93	29328	83783	410602
94	28953	82427	411381
95	28133	80799	412129
96	28152	79160	413272
97	28804	78420	413630
98	27573	77903	414268
99	26631	76749	415275
100	27272	76369	415595
101	26950	74702	416438
102	25492	74034	417491
103	24855	72980	418660
104	25660	71767	418982
105	25574	70657	419465
106	24954	70305	420025
107	25628	69453	420358
108	24538	68295	421232
109	24748	67573	421560
110	23991	66623	422408
111	24305	66142	422733
112	24351	65159	423173
113	24904	64111	423331
114	22682	62791	425270
115	24384	62276	424446
116	22759	61571	426114
117	23506	60377	425940
118	22794	59849	426785
119	24408	59557	425914
120	23455	57946	427258
121	22836	57682	427927
122	22548	56696	428465
123	22534	56740	428522
124	22275	56213	428796
125	22064	54539	429652
126	22556	54618	429536
127	22675	54574	429398
128	21893	53530	430374
129	22474	51858	430875
130	23186	50688	431175
131	22217	50589	431807
132	22529	50332	431440
133	22038	50967	431630
134	22094	50863	431605
135	21595	49767	432747
136	22429	48885	432512
137	22046	49552	432591
138	22691	48237	432983
139	20571	47431	434239
140	21784	46959	433964
141	21927	46537	434211
142	21727	45601	434334
143	22112	45740	434304
144	22269	45924	434164
145	22199	45644	434621
146	22033	45031	434862
147	21299	43727	435673
148	21262	44422	435331
149	21702	44223	435561
150	21381	42956	436047
