Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	23:31:19	23:31:19	23:31:19			23:31:19	23:31:19	23:31:22	23:31:22	23:31:22	23:31:22	23:31:22	23:31:38	23:31:38	23:31:38	23:31:38	23:31:38	23:31:38			23:31:40	23:31:40		00:00:00		00:00:03	00:00:03	00:00:00	00:00:15	00:00:00	00:00:00		00:00:01	00:00:21
1	23:31:40	23:31:40	23:31:40	23:31:40	23:31:41	23:31:41	23:31:41	23:31:45	23:31:45	23:31:45	23:31:45	23:31:45	23:31:59	23:31:59	23:31:59	23:31:59	23:31:59	23:31:59			23:31:59	23:31:59		00:00:00	00:00:00	00:00:03	00:00:03	00:00:00	00:00:13	00:00:00	00:00:00		00:00:00	00:00:19
2	23:31:59	23:31:59	23:31:59	23:31:59	23:32:00	23:32:00			23:32:00	23:32:00	23:32:00	23:32:00	23:32:14	23:32:14	23:32:14	23:32:14	23:32:14	23:32:14			23:32:14	23:32:14		00:00:00	00:00:00		00:00:00	00:00:00	00:00:13	00:00:00	00:00:00		00:00:00	00:00:14
3	23:32:14	23:32:14	23:32:14	23:32:14	23:32:15	23:32:15			23:32:15	23:32:15	23:32:15	23:32:15	23:32:27	23:32:27	23:32:27	23:32:27	23:32:27	23:32:27			23:32:27	23:32:27		00:00:00	00:00:00		00:00:00	00:00:00	00:00:12	00:00:00	00:00:00		00:00:00	00:00:13
4	23:32:27	23:32:27	23:32:27	23:32:27	23:32:28	23:32:28			23:32:28	23:32:28	23:32:28	23:32:28	23:32:40	23:32:40	23:32:40	23:32:40	23:32:40	23:32:40			23:32:40	23:32:40		00:00:00	00:00:00		00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
5	23:32:40	23:32:40	23:32:40	23:32:40	23:32:41	23:32:41			23:32:41	23:32:41	23:32:41	23:32:41	23:32:51	23:32:51	23:32:51	23:32:51	23:32:51	23:32:51			23:32:52	23:32:52		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:11
6	23:32:52	23:32:52	23:32:52	23:32:52	23:32:52	23:32:52			23:32:52	23:32:52	23:32:52	23:32:52	23:33:03	23:33:03	23:33:03	23:33:03	23:33:03	23:33:03			23:33:03	23:33:03		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:11
7	23:33:03	23:33:03	23:33:03	23:33:03	23:33:04	23:33:04			23:33:04	23:33:04	23:33:04	23:33:04	23:33:14	23:33:14	23:33:14	23:33:14	23:33:14	23:33:14			23:33:15	23:33:15		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:11
8	23:33:15	23:33:15	23:33:15	23:33:15	23:33:15	23:33:15			23:33:15	23:33:15	23:33:15	23:33:15	23:33:26	23:33:26	23:33:26	23:33:26	23:33:26	23:33:26			23:33:26	23:33:26		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:11
9	23:33:26	23:33:26	23:33:27	23:33:27	23:33:27	23:33:27			23:33:27	23:33:27	23:33:27	23:33:27	23:33:37	23:33:37	23:33:37	23:33:37	23:33:37	23:33:37			23:33:38	23:33:38		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:11
10	23:33:38	23:33:38	23:33:38	23:33:38	23:33:38	23:33:38			23:33:38	23:33:38	23:33:38	23:33:38	23:33:48	23:33:48	23:33:48	23:33:48	23:33:48	23:33:48	23:33:48	23:33:48	23:33:48	23:33:48		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00	00:00:00	00:00:00	00:00:10
11	23:33:48	23:33:48	23:33:49	23:33:49	23:33:49	23:33:49			23:33:49	23:33:49	23:33:49	23:33:49	23:33:58	23:33:58	23:33:58	23:33:58	23:33:58	23:33:58			23:33:59	23:33:59		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
12	23:33:59	23:33:59	23:33:59	23:33:59	23:33:59	23:33:59			23:33:59	23:33:59	23:33:59	23:33:59	23:34:08	23:34:08	23:34:08	23:34:08	23:34:08	23:34:08			23:34:09	23:34:09		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:10
13	23:34:09	23:34:09	23:34:09	23:34:09	23:34:09	23:34:09			23:34:09	23:34:09	23:34:09	23:34:09	23:34:19	23:34:19	23:34:19	23:34:19	23:34:19	23:34:19			23:34:20	23:34:20		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
14	23:34:20	23:34:20	23:34:20	23:34:20	23:34:20	23:34:20			23:34:20	23:34:20	23:34:20	23:34:20	23:34:29	23:34:29	23:34:29	23:34:29	23:34:29	23:34:29			23:34:30	23:34:30		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:10
15	23:34:30	23:34:30	23:34:30	23:34:30	23:34:30	23:34:30			23:34:30	23:34:30	23:34:30	23:34:30	23:34:40	23:34:40	23:34:40	23:34:40	23:34:40	23:34:40			23:34:41	23:34:41		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:11
16	23:34:41	23:34:41	23:34:41	23:34:41	23:34:41	23:34:41			23:34:41	23:34:41	23:34:41	23:34:41	23:34:50	23:34:50	23:34:50	23:34:50	23:34:50	23:34:50			23:34:51	23:34:51		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:10
17	23:34:51	23:34:51	23:34:51	23:34:51	23:34:51	23:34:51			23:34:51	23:34:51	23:34:52	23:34:52	23:35:01	23:35:01	23:35:01	23:35:01	23:35:01	23:35:01			23:35:01	23:35:01		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
18	23:35:01	23:35:01	23:35:02	23:35:02	23:35:02	23:35:02			23:35:02	23:35:02	23:35:02	23:35:02	23:35:11	23:35:11	23:35:11	23:35:11	23:35:11	23:35:11			23:35:12	23:35:12		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
19	23:35:12	23:35:12	23:35:12	23:35:12	23:35:12	23:35:12			23:35:12	23:35:12	23:35:13	23:35:13	23:35:22	23:35:22	23:35:22	23:35:22	23:35:22	23:35:22			23:35:23	23:35:23		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
20	23:35:23	23:35:23	23:35:23	23:35:23	23:35:23	23:35:23			23:35:23	23:35:23	23:35:23	23:35:23	23:35:32	23:35:32	23:35:32	23:35:32	23:35:32	23:35:32	23:35:32	23:35:32	23:35:33	23:35:33		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00	00:00:00	00:00:00	00:00:09
21	23:35:33	23:35:33	23:35:33	23:35:33	23:35:33	23:35:33			23:35:33	23:35:33	23:35:33	23:35:33	23:35:42	23:35:42	23:35:42	23:35:42	23:35:42	23:35:42			23:35:43	23:35:43		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
22	23:35:43	23:35:43	23:35:43	23:35:43	23:35:43	23:35:43			23:35:43	23:35:43	23:35:43	23:35:43	23:35:53	23:35:53	23:35:53	23:35:53	23:35:53	23:35:53			23:35:54	23:35:54		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
23	23:35:54	23:35:54	23:35:54	23:35:54	23:35:54	23:35:54			23:35:54	23:35:54	23:35:54	23:35:54	23:36:03	23:36:03	23:36:03	23:36:03	23:36:03	23:36:03			23:36:04	23:36:04		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
24	23:36:04	23:36:04	23:36:04	23:36:04	23:36:04	23:36:04			23:36:04	23:36:04	23:36:04	23:36:04	23:36:14	23:36:14	23:36:14	23:36:14	23:36:14	23:36:14			23:36:15	23:36:15		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:11
25	23:36:15	23:36:15	23:36:15	23:36:15	23:36:15	23:36:15			23:36:15	23:36:15	23:36:16	23:36:16	23:36:25	23:36:25	23:36:25	23:36:25	23:36:25	23:36:25			23:36:26	23:36:26		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
26	23:36:26	23:36:26	23:36:26	23:36:26	23:36:26	23:36:26			23:36:26	23:36:26	23:36:27	23:36:27	23:36:35	23:36:35	23:36:35	23:36:35	23:36:35	23:36:35			23:36:35	23:36:35		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
27	23:36:36	23:36:36	23:36:36	23:36:36	23:36:36	23:36:36			23:36:36	23:36:36	23:36:36	23:36:36	23:36:45	23:36:45	23:36:45	23:36:45	23:36:45	23:36:45			23:36:46	23:36:46		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:10
