Iteration	car	pt	walk
0	0.7818095351325645	0.2181904648674355	0.0
1	0.731137795743669	0.22887884912614434	0.03998335513018666
2	0.688301034359767	0.23817619783616692	0.07352276780406611
3	0.6518131018903817	0.24572583521578883	0.1024610628938295
4	0.6198311734633218	0.25586731660920226	0.12430150992747592
5	0.5999167756509333	0.26424919747949116	0.13583402686957555
6	0.5871002258946617	0.27422423017477116	0.1386755439305671
7	0.5781238853881822	0.283949589822851	0.13792652478896683
8	0.5700630127214362	0.29160622993698726	0.13833075734157652
9	0.5643799785994531	0.3005231244798478	0.1350968969206991
10	0.5590655094519082	0.30763286172868864	0.13330162881940316
11	0.5557127571037926	0.31479015574842467	0.12949708714778266
12	0.5525145642610867	0.3192961597907502	0.12818927594816312
13	0.5472357626917133	0.32628700511235287	0.1264772321959339
14	0.5459279514920937	0.3314469147544882	0.12262513375341814
