Iteration	car_travel	car_wait	pt_travel	pt_wait	stageActivity_travel	stageActivity_wait	walk_travel	walk_wait
0	8194	0	7984	153	0	0	7927	0
1	8169	0	4197	217	0	0	15318	0
2	15156	0	8803	2511	0	0	22371	0
3	46343	0	8764	6208	0	0	36255	0
4	39692	0	8958	5957	0	0	42117	0
5	31116	0	7944	5333	0	0	44560	0
6	25804	0	7580	4951	0	0	45956	0
7	22744	0	7289	4867	0	0	46678	0
8	20465	0	7181	4803	0	0	47342	0
9	18943	0	7154	4769	0	0	47552	0
10	17542	0	7090	4795	0	0	47739	0
11	16438	0	6917	4777	0	0	47833	0
12	15612	0	6811	4743	0	0	47998	0
13	14900	0	6747	4845	0	0	48386	0
14	14485	0	6763	5065	0	0	47989	0
