ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-32.380297997524124	-32.380297997524124	-32.380297997524124	-32.380297997524124
1	-27.983815005546866	-31.08478865795906	-29.435890692624728	-27.786992727290336
2	-23.260130676803083	-29.323256882321317	-25.974807059646242	-22.539662926253815
3	31.005247160351807	2.9277694241215815	16.581200441168942	31.17217436215592
4	38.21808026858245	5.806718004038311	22.476273248364766	38.97680328594168
5	38.05787016720375	5.355609184849352	23.22563211404497	39.34721780283646
6	38.05057522416555	4.9022377109973725	23.86220008724962	39.62986486462557
7	38.1098611569406	4.479213248786621	24.44320389599729	39.882028631435425
8	38.13737873380217	4.051548423879067	24.943056643488028	40.09298414293585
9	38.249325003154816	3.666778532891042	25.42406924545732	40.27840358964454
10	38.32311369838542	3.3018853503408723	25.86781506956993	40.45078744578305
11	38.43457797862688	3.0123404801680476	26.292094850313415	40.59975778693098
12	38.491777273942795	2.8188205016683052	26.697903832033965	40.74207787324247
13	38.53373782672477	2.7129267496677563	27.09239715191687	40.87109024543101
14	38.64511349181568	2.71658754217472	27.47021485160408	40.97680964917373
